date,url,content
"Wed, Jun  9, 2021",https://www.senate.gov/legislative/LIS/floor_activity/06_09_2021_Senate_Floor.htm,"Mr. Ben Ray Lujan, from the State of New Mexico, called the Senate to order at 1030 a.m., the Chaplain offered a prayer, and Mr. Lujan led the Senate in reciting the Pledge of Allegiance to the Flag of the United States of America.
The Journal
Pursuant to the order of yesterday, the Journal of the proceedings of the Senate was deemed approved to date. 
Certain Procedures Dispensed With
Pursuant to the order of yesterday, the morning hour being deemed expired, and the times for the recognition of the two leaders being reserved.
Transaction of Morning Business
The following transactions of morning business occurred on today.
Legislative Business (Wednesday, June  9)
 H.R. 49
        A bill to designate the National Pulse Memorial located at 1912 South Orange Avenue, Orlando, Florida, 32806, and for other purposes.
        -- Senate Committee on Energy and Natural Resources discharged by Unanimous Consent.
        -- Passed Senate without amendment by Unanimous Consent.
 S. 1605
 (Sen. Scott, of FL)
        A bill to designate the National Pulse Memorial located at 1912 South Orange Avenue in Orlando, Florida, and for other purposes.
        -- Senate Committee on Energy and Natural Resources discharged by Unanimous Consent.
        -- Passed Senate without amendment by Unanimous Consent.
 S.Res. 265
 (Sen. Scott, of FL)
        A resolution honoring the memory of the victims of the heinous attack at the Pulse nightclub on June 12, 2016.
        -- Submitted in the Senate, considered, and agreed to without amendment and with a preamble by Unanimous Consent.
 S.Res. 266
 (Sen. Daines)
        A resolution expressing support for the designation of May 2021 as ""National Brain Tumor Awareness Month"".
        -- Submitted in the Senate, considered, and agreed to without amendment and with a preamble by Unanimous Consent.
Executive Business (Wednesday, June  9)
 PN394
        Zahid N. Quraishi, of New Jersey, to be United States District Judge for the District of New Jersey
        -- Considered by Senate.
        -- By unanimous consent agreement, debate and vote 6/10/2021.
Adjournment
By unanimous consent, on the request of Mr. Schumer, at  502 p.m., the Senate adjourned, under its order of today, until 1030 a.m. tomorrow.
"
"Mon, Jun 14, 2021",https://www.senate.gov/legislative/LIS/floor_activity/06_14_2021_Senate_Floor.htm,"The President pro tempore called the Senate to order at  3 p.m., the Chaplain offered a prayer, and the President pro tempore led the Senate in reciting the Pledge of Allegiance to the Flag of the United States of America.
The Journal
Pursuant to the order of Thursday, June 10, 2021,  the Journal of the proceedings of the Senate was deemed approved to date. 
Certain Procedures Dispensed With
Pursuant to the order of Thursday, June 10, 2021, the morning hour being deemed expired, and the times for the recognition of the two leaders being reserved.
Transaction of Morning Business
The following transactions of morning business occurred on today.
Legislative Business (Monday, June 14)
 S.Res. 252
 (Sen. Rosen)
        A resolution unequivocally condemning the recent rise in antisemitic violence and harassment targeting Jewish Americans, and standing in solidarity with those affected by antisemitism, and for other purposes.
        -- Senate Committee on the Judiciary discharged by Unanimous Consent.
        -- Resolution agreed to in Senate without amendment and with a preamble by Voice Vote.
Executive Business (Monday, June 14)
 PN254
        Lina M. Khan, of New York, to be a Federal Trade Commissioner for the unexpired term of seven years from September 26, 2017
        -- Cloture invoked in Senate by Yea-Nay Vote. 72 - 25. Record Vote Number 
        -- Considered by Senate.
        -- By unanimous consent agreement, debate 6/15/2021.
 PN390
        Lydia Kay Griggsby, of Maryland, to be United States District Judge for the District of Maryland
        -- Motion to proceed to executive session to consideration of nomination agreed to in Senate by Voice Vote.
        -- Cloture motion presented in Senate.
        -- By unanimous consent agreement, mandatory quorum required under Rule XXII waived.
 PN391
        Ketanji Brown Jackson, of the District of Columbia , to be United States Circuit Judge for the District of Columbia Circuit
        -- Considered by Senate.
        -- Confirmed by the Senate by Yea-Nay Vote. 53 - 44. Record Vote Number 
 PN407
        Michal Ilana Freedhoff, of Maryland, to be Assistant Administrator for Toxic Substances of the Environmental Protection Agency
        -- Considered by Senate.
        -- Confirmed by the Senate by Voice Vote.
 PN444
        Radhika Fox, of California, to be an Assistant Administrator of the Environmental Protection Agency
        -- Motion to proceed to executive session to consideration of nomination agreed to in Senate by Voice Vote.
        -- Cloture motion presented in Senate.
        -- By unanimous consent agreement, mandatory quorum required under Rule XXII waived.
Adjournment
By unanimous consent, on the request of Mr. Schumer, at  728 p.m., the Senate adjourned, under its order of today, until 10 a.m. tomorrow.
"
"Thu, Jun 17, 2021",https://www.senate.gov/legislative/LIS/floor_activity/06_17_2021_Senate_Floor.htm,"Ms. Jacky Rosen, from the State of Nevada, called the Senate to order at 10 a.m., the Chaplain offered a prayer, and Ms. Rosen led the Senate in reciting the Pledge of Allegiance to the Flag of the United States of America.
The Journal
Pursuant to the order of yesterday, the Journal of the proceedings of the Senate was deemed approved to date. 
Certain Procedures Dispensed With
Pursuant to the order of yesterday, the morning hour being deemed expired, and the times for the recognition of the two leaders being reserved.
Transaction of Morning Business
The following transactions of morning business occurred on today.
Legislative Business (Thursday, June 17)
 S. 1340
 (Sen. Tillis)
        A bill to amend title 28, United States Code, to redefine the eastern and middle judicial districts of North Carolina.
        -- Senate Committee on the Judiciary discharged by Unanimous Consent.
        -- Passed Senate without amendment by Unanimous Consent.
        -- Message on Senate action sent to the House.
 S. 2093
 (Sen. Merkley)
        A bill to expand Americans' access to the ballot box, reduce the influence of big money in politics, strengthen ethics rules for public servants, and implement other anti-corruption measures for the purpose of fortifying our democracy, and for other purposes.
        -- Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 77.
        -- Motion to proceed to consideration of measure made in Senate.
        -- Cloture motion on the motion to proceed to the measure presented in Senate.
 S.Res. 276
 (Sen. Rubio)
        A resolution congratulating the University of Florida Gators for winning the 2021 National Collegiate Athletic Association Division I Men's Tennis Championship.
        -- Submitted in the Senate, considered, and agreed to without amendment and with a preamble by Unanimous Consent.
 S.Res. 277
 (Sen. Wicker)
        A resolution congratulating the University of Mississippi Rebels women's golf team on winning the 2021 National Collegiate Athletic Association Division I women's golf championship.
        -- Submitted in the Senate, considered, and agreed to without amendment and with a preamble by Unanimous Consent.
 S.Res. 278
 (Sen. Casey)
        A resolution recognizing the 75th anniversary of United Spinal Association, a leading national advocacy organization that is dedicated to promoting the independence and enhancing the quality of life of all people living with spinal cord injuries and neurological disorders, including veterans, and providing support and information to their loved ones, care providers, and personal support networks.
        -- Submitted in the Senate, considered, and agreed to without amendment and with a preamble by Voice Vote.
Executive Business (Thursday, June 17)
 PN220
        Kiran Arjandas Ahuja, of Massachusetts, to be Director of the Office of Personnel Management for a term of four years
        -- Motion to proceed to executive session to consideration of measure agreed to in Senate by Voice Vote.
        -- Cloture motion presented in Senate.
        -- By unanimous consent agreement, mandatory quorum required under Rule XXII waived.
 PN249
        Christopher Charles Fonzone, of Pennsylvania, to be General Counsel of the Office of the Director of National Intelligence
        -- Motion to proceed to executive session to consideration of measure agreed to in Senate by Voice Vote.
        -- Cloture motion presented in Senate.
        -- By unanimous consent agreement, mandatory quorum required under Rule XXII waived.
        -- By unanimous consent agreement, debate 6/21/2021.
 PN363
        Tommy P. Beaudreau, of Alaska, to be Deputy Secretary of the Interior
        -- Considered by Senate.
        -- Confirmed by the Senate by Yea-Nay Vote. 88 - 9. Record Vote Number 
 PN371
        Vice Adm. Michael F. McAllister, in the Coast Guard, to be Vice Admiral
        -- Confirmed by the Senate by Voice Vote.
 PN372
        Rear Adm. Paul F. Thomas, in the Coast Guard, to be Vice Admiral
        -- Confirmed by the Senate by Voice Vote.
 PN375
        Tanya Marie Trujillo, of New Mexico, to be an Assistant Secretary of the Interior
        -- Considered by Senate.
        -- Confirmed by the Senate by Voice Vote.
 PN399
        Matthew T. Quinn, of Montana, to be Under Secretary of Veterans Affairs for Memorial Affairs
        -- Considered by Senate.
        -- Confirmed by the Senate by Voice Vote.
 PN406
        Pamela A. Melroy, of New York, to be Deputy Administrator of the National Aeronautics and Space Administration
        -- Considered by Senate.
        -- Confirmed by the Senate by Voice Vote.
 PN421
        John K. Tien, of Georgia, to be Deputy Secretary of Homeland Security
        -- Cloture invoked in Senate by Yea-Nay Vote. 63 - 33. Record Vote Number 
        -- Considered by Senate.
        -- Confirmed by the Senate by Yea-Nay Vote. 60 - 34. Record Vote Number 
 PN424
        Vice Adm. Linda L. Fagan, in the Coast Guard, to be Admiral
        -- Confirmed by the Senate by Voice Vote.
 PN439
        Richard W. Spinrad, of Oregon, to be Under Secretary of Commerce for Oceans and Atmosphere
        -- Considered by Senate.
        -- Confirmed by the Senate by Voice Vote.
 PN455
        Chris Inglis, of Maryland, to be National Cyber Director
        -- Considered by Senate.
        -- Confirmed by the Senate by Voice Vote.
 PN474
        4 nominations in the Coast Guard beginning with Charles J. Clark and ending with Luke P. Strittmatter
        -- Confirmed by the Senate by Voice Vote.
 PN475
        2 nominations in the Coast Guard beginning with Lisa M. Thompson and ending with Tara E. Larkin
        -- Confirmed by the Senate by Voice Vote.
Adjournment
By unanimous consent, on the request of Mr. Schumer, at  348 p.m., the Senate adjourned, under its order of today, until  3 p.m. on Monday, June 21, 2021.
"
"Mon, Jun 21, 2021",https://www.senate.gov/legislative/LIS/floor_activity/06_21_2021_Senate_Floor.htm,"The President pro tempore called the Senate to order at  3 p.m., the Chaplain offered a prayer, and the President pro tempore led the Senate in reciting the Pledge of Allegiance to the Flag of the United States of America.
The Journal
Pursuant to the order of Thursday, June 17, 2021,  the Journal of the proceedings of the Senate was deemed approved to date. 
Certain Procedures Dispensed With
Pursuant to the order of Thursday, June 17, 2021, the morning hour being deemed expired, and the times for the recognition of the two leaders being reserved.
Transaction of Morning Business
The following transactions of morning business occurred on today.
Executive Business (Monday, June 21)
 PN249
        Christopher Charles Fonzone, of Pennsylvania, to be General Counsel of the Office of the Director of National Intelligence
        -- Considered by Senate.
        -- Cloture invoked in Senate by Yea-Nay Vote. 52 - 35. Record Vote Number 
        -- By unanimous consent agreement, debate 6/22/2021.
 PN388
        Deborah L. Boardman, of Maryland, to be United States District Judge for the District of Maryland
        -- Motion to proceed to executive session to consideration of nomination agreed to in Senate by Voice Vote.
        -- Cloture motion presented in Senate.
        -- By unanimous consent agreement, mandatory quorum required under Rule XXII waived.
 PN392
        Candace Jackson-Akiwumi, of Illinois, to be United States Circuit Judge for the Seventh Circuit
        -- Motion to proceed to executive session to consideration of nomination agreed to in Senate by Voice Vote.
        -- Cloture motion presented in Senate.
        -- By unanimous consent agreement, mandatory quorum required under Rule XXII waived.
Adjournment
Under the authority of the order of today, at  744 p.m, the Presiding Officer (Ms. Smith in the chair) declared the Senate adjourned, under its order of today, until 10 a.m. tomorrow.
"
"Tue, Jun 15, 2021",https://www.senate.gov/legislative/LIS/floor_activity/06_15_2021_Senate_Floor.htm,"Mr. Raphael G. Warnock, from the State of Georgia, called the Senate to order at 10 a.m., the Chaplain offered a prayer, and Mr. Warnock led the Senate in reciting the Pledge of Allegiance to the Flag of the United States of America.
The Journal
Pursuant to the order of yesterday, the Journal of the proceedings of the Senate was deemed approved to date. 
Certain Procedures Dispensed With
Pursuant to the order of yesterday, the morning hour being deemed expired, and the times for the recognition of the two leaders being reserved.
Transaction of Morning Business
The following transactions of morning business occurred on today.
Legislative Business (Tuesday, June 15)
 S. 475
 (Sen. Markey)
        A bill to amend title 5, United States Code, to designate Juneteenth National Independence Day as a legal public holiday.
        -- Senate Committee on the Judiciary discharged by Unanimous Consent.
        -- Passed Senate without amendment by Unanimous Consent.
 S.Res. 269
 (Sen. Cornyn)
        A resolution designating June 19, 2021, as ""Juneteenth Independence Day"" in recognition of June 19, 1865, the date on which news of the end of slavery reached the slaves in the Southwestern States.
        -- Submitted in the Senate, considered, and agreed to without amendment and with a preamble by Unanimous Consent.
Executive Business (Tuesday, June 15)
 PN220
        Kiran Arjandas Ahuja, of Massachusetts, to be Director of the Office of Personnel Management for a term of four years
        -- Cloture motion withdrawn by unanimous consent in Senate.
 PN254
        Lina M. Khan, of New York, to be a Federal Trade Commissioner for the unexpired term of seven years from September 26, 2017
        -- Considered by Senate.
        -- Confirmed by the Senate by Yea-Nay Vote. 69 - 28. Record Vote Number 
 PN363
        Tommy P. Beaudreau, of Alaska, to be Deputy Secretary of the Interior
        -- Motion to proceed to executive session to consideration of nomination agreed to in Senate by Voice Vote.
        -- Cloture motion presented in Senate.
        -- By unanimous consent agreement, mandatory quorum required under Rule XXII waived.
 PN421
        John K. Tien, of Georgia, to be Deputy Secretary of Homeland Security
        -- Motion to proceed to executive session to consideration of nomination agreed to in Senate by Voice Vote.
        -- Cloture motion presented in Senate.
        -- By unanimous consent agreement, mandatory quorum required under Rule XXII waived.
Adjournment
By unanimous consent, on the request of Mr. Wyden, at  543 p.m., the Senate adjourned, under its order of today, until 1030 a.m. tomorrow.
"
"Tue, Jun 22, 2021",https://www.senate.gov/legislative/LIS/floor_activity/06_22_2021_Senate_Floor.htm,"Mr. Raphael G. Warnock, from the State of Georgia, called the Senate to order at 1003 a.m., the Chaplain offered a prayer, and Mr. Warnock led the Senate in reciting the Pledge of Allegiance to the Flag of the United States of America.
The Journal
Pursuant to the order of yesterday, the Journal of the proceedings of the Senate was deemed approved to date. 
Certain Procedures Dispensed With
Pursuant to the order of yesterday, the morning hour being deemed expired, and the times for the recognition of the two leaders being reserved.
Transaction of Morning Business
The following transactions of morning business occurred on today.
Legislative Business (Tuesday, June 22)
 S. 2093
 (Sen. Merkley)
        A bill to expand Americans' access to the ballot box, reduce the influence of big money in politics, strengthen ethics rules for public servants, and implement other anti-corruption measures for the purpose of fortifying our democracy, and for other purposes.
        -- Motion to proceed to measure considered in Senate.
        -- Cloture on the motion to proceed to the measure not invoked in Senate by Yea-Nay Vote. 50 - 50. Record Vote Number 
 S. 2184
 (Sen. Kennedy)
        A bill to amend the Sarbanes-Oxley Act of 2002 to institute a trading prohibition for certain issuers that retain public accounting firms that have not been subject to inspection by the Public Company Accounting Oversight Board, and for other purposes.
        -- Introduced in the Senate, read twice, considered, read the third time, and passed without amendment by Unanimous Consent.
 S.Res. 282
 (Sen. Hassan)
        A resolution recognizing July 1, 2021, as the 100th anniversary of the Government Accountability Office and commending the service of the Government Accountability Office to Congress and the United States.
        -- Submitted in the Senate, considered, and agreed to without amendment and with a preamble by Unanimous Consent.
Executive Business (Tuesday, June 22)
 PN220
        Kiran Arjandas Ahuja, of Massachusetts, to be Director of the Office of Personnel Management for a term of four years
        -- Cloture invoked in Senate by Yea-Nay Vote. 51 - 50. Record Vote Number 
        -- Considered by Senate.
        -- Confirmed by the Senate by Yea-Nay Vote. 51 - 50. Record Vote Number 
 PN249
        Christopher Charles Fonzone, of Pennsylvania, to be General Counsel of the Office of the Director of National Intelligence
        -- Considered by Senate.
        -- Confirmed by the Senate by Yea-Nay Vote. 55 - 45. Record Vote Number 
 PN266
        Ali Nouri, of the District of Columbia, to be an Assistant Secretary of Energy (Congressional and Intergovernmental Affairs)
        -- Considered by Senate.
        -- Confirmed by the Senate by Voice Vote.
Adjournment
By unanimous consent, on the request of Mr. Van Hollen, at  740 p.m., the Senate adjourned, under its order of today, until  2 p.m. tomorrow.
"
"Thu, Jun 10, 2021",https://www.senate.gov/legislative/LIS/floor_activity/06_10_2021_Senate_Floor.htm,"Ms. Jacky Rosen, from the State of Nevada, called the Senate to order at 1030 a.m., the Chaplain offered a prayer, and Ms. Rosen led the Senate in reciting the Pledge of Allegiance to the Flag of the United States of America.
The Journal
Pursuant to the order of yesterday, the Journal of the proceedings of the Senate was deemed approved to date. 
Certain Procedures Dispensed With
Pursuant to the order of yesterday, the morning hour being deemed expired, and the times for the recognition of the two leaders being reserved.
Transaction of Morning Business
The following transactions of morning business occurred on today.
Legislative Business (Thursday, June 10)
 H.J.Res. 27
        A joint resolution providing for the appointment of Barbara Barrett as a citizen regent of the Board of Regents of the Smithsonian Institution.
        -- Senate Committee on Rules and Administration discharged by Unanimous Consent.
        -- Passed Senate without amendment by Unanimous Consent.
 S. 1511
 (Sen. Grassley)
        A bill to amend the Omnibus Crime Control and Safe Streets Act of 1968 with respect to payments to certain public safety officers who have become permanently and totally disabled as a result of personal injuries sustained in the line of duty, and for other purposes.
        -- Senate Committee on the Judiciary discharged by Unanimous Consent.
        -- Measure laid before Senate by unanimous consent.
        -- Passed Senate with an amendment by Unanimous Consent.
 S.Amdt. 2118
 (Sen. Grassley)
        To improve the bill.
        --Amendment SA 2118 proposed by Senator Cortez Masto for Senator Grassley. 
        --Amendment SA 2118 agreed to in Senate by Unanimous Consent. 
 S.Res. 254
 (Sen. Lujan)
        A resolution expressing support for the designation of May 2021 as ""Mental Health Awareness Month"".
        -- Senate Committee on Health, Education, Labor, and Pensions discharged by Unanimous Consent.
        -- Resolution agreed to in Senate without amendment and with a preamble by Unanimous Consent.
Executive Business (Thursday, June 10)
 PN220
        Kiran Arjandas Ahuja, of Massachusetts, to be Director of the Office of Personnel Management for a term of four years
        -- Motion to proceed to executive session to consideration of nomination agreed to in Senate by Voice Vote.
        -- Cloture motion presented in Senate.
        -- By unanimous consent agreement, mandatory quorum required under Rule XXII waived.
 PN248
        Leslie B. Kiernan, of Maryland, to be General Counsel of the Department of Commerce
        -- Considered by Senate.
        -- Confirmed by the Senate by Voice Vote.
 PN254
        Lina M. Khan, of New York, to be a Federal Trade Commissioner for the unexpired term of seven years from September 26, 2017
        -- Motion to proceed to consideration of nomination agreed to in Senate by Voice Vote.
        -- Cloture motion presented in Senate.
        -- By unanimous consent agreement, mandatory quorum required under Rule XXII waived.
 PN257
        Adrianne Todman, of the Virgin Islands, to be Deputy Secretary of Housing and Urban Development
        -- Considered by Senate.
        -- Confirmed by the Senate by Voice Vote.
 PN262
        Nuria I. Fernandez, of California, to be Federal Transit Administrator
        -- Considered by Senate.
        -- Confirmed by the Senate by Voice Vote.
 PN391
        Ketanji Brown Jackson, of the District of Columbia , to be United States Circuit Judge for the District of Columbia Circuit
        -- Cloture invoked in Senate by Yea-Nay Vote. 52 - 46. Record Vote Number 
        -- By unanimous consent agreement, debate 6/14/2021.
 PN394
        Zahid N. Quraishi, of New Jersey, to be United States District Judge for the District of New Jersey
        -- Considered by Senate.
        -- Cloture invoked in Senate by Yea-Nay Vote. 83 - 16. Record Vote Number 
        -- Confirmed by the Senate by Yea-Nay Vote. 81 - 16. Record Vote Number 
Adjournment
By unanimous consent, on the request of Ms. Cortez Masto, at  410 p.m., the Senate adjourned, under its order of today, until  3 p.m. on Monday, June 14, 2021.
"
"Wed, Jun 16, 2021",https://www.senate.gov/legislative/LIS/floor_activity/06_16_2021_Senate_Floor.htm,"Mr. Alex Padilla, from the State of California, called the Senate to order at 1030 a.m., the Chaplain offered a prayer, and Mr. Padilla led the Senate in reciting the Pledge of Allegiance to the Flag of the United States of America.
The Journal
Pursuant to the order of yesterday, the Journal of the proceedings of the Senate was deemed approved to date. 
Certain Procedures Dispensed With
Pursuant to the order of yesterday, the morning hour being deemed expired, and the times for the recognition of the two leaders being reserved.
Transaction of Morning Business
The following transactions of morning business occurred on today.
Legislative Business (Wednesday, June 16)
 S.Res. 248
 (Sen. Hagerty)
        A resolution recognizing and celebrating the 225th anniversary of the entry of the State of Tennessee into the United States as the 16th State.
        -- Senate Committee on the Judiciary discharged by Unanimous Consent.
        -- Resolution agreed to in Senate without amendment and with a preamble by Unanimous Consent.
 S.Res. 273
 (Sen. Daines)
        A resolution designating June 2021 as ""Great Outdoors Month"".
        -- Submitted in the Senate, considered, and agreed to without amendment and with a preamble by Voice Vote.
Executive Business (Wednesday, June 16)
 PN363
        Tommy P. Beaudreau, of Alaska, to be Deputy Secretary of the Interior
        -- By unanimous consent agreement, debate and vote 6/16/2021.
        -- Cloture invoked in Senate by Yea-Nay Vote. 89 - 9. Record Vote Number 
        -- Considered by Senate.
        -- By unanimous consent agreement, debate 6/17/2021.
 PN390
        Lydia Kay Griggsby, of Maryland, to be United States District Judge for the District of Maryland
        -- Cloture invoked in Senate by Yea-Nay Vote. 57 - 41. Record Vote Number 
        -- Considered by Senate.
        -- Confirmed by the Senate by Yea-Nay Vote. 59 - 39. Record Vote Number 
 PN444
        Radhika Fox, of California, to be an Assistant Administrator of the Environmental Protection Agency
        -- Considered by Senate.
        -- Cloture invoked in Senate by Yea-Nay Vote. 55 - 43. Record Vote Number 
        -- Confirmed by the Senate by Yea-Nay Vote. 55 - 43. Record Vote Number 
Adjournment
By unanimous consent, on the request of Mr. Schumer, at  725 p.m., the Senate adjourned, under its order of today, until 10 a.m. tomorrow.
"
"Wed, Jun 23, 2021",https://www.senate.gov/legislative/LIS/floor_activity/06_23_2021_Senate_Floor.htm,"Ms. Jacky Rosen, from the State of Nevada, called the Senate to order at  2 p.m., the Chaplain offered a prayer, and Ms. Rosen led the Senate in reciting the Pledge of Allegiance to the Flag of the United States of America.
The Journal
Pursuant to the order of yesterday, the Journal of the proceedings of the Senate was deemed approved to date. 
Certain Procedures Dispensed With
Pursuant to the order of yesterday, the morning hour being deemed expired, and the times for the recognition of the two leaders being reserved.
Transaction of Morning Business
The following transactions of morning business occurred on today.
Executive Business (Wednesday, June 23)
 PN272
        Robin Carnahan, of Missouri, to be Administrator of General Services
        -- Considered by Senate.
        -- Confirmed by the Senate by Voice Vote.
 PN388
        Deborah L. Boardman, of Maryland, to be United States District Judge for the District of Maryland
        -- Considered by Senate.
        -- Cloture invoked in Senate by Yea-Nay Vote. 52 - 48. Record Vote Number 
        -- Confirmed by the Senate by Yea-Nay Vote. 52 - 48. Record Vote Number 
 PN392
        Candace Jackson-Akiwumi, of Illinois, to be United States Circuit Judge for the Seventh Circuit
        -- Cloture invoked in Senate by Yea-Nay Vote. 53 - 47. Record Vote Number 
        -- Considered by Senate.
        -- By unanimous consent agreement, debate 6/24/2021.
Adjournment
Under the authority of the order of today, at  748 p.m, the Presiding Officer (Mr. Kelly in the chair) declared the Senate adjourned, under its order of today, until 10 a.m. tomorrow.
"
"Mon, Jun 28, 2021",https://www.senate.gov/legislative/LIS/floor_activity/06_28_2021_Senate_Floor.htm,"Mr. Tim Kaine, from the Commonwealth of Virginia, called the Senate to order at  959 a.m.
Adjournment
Under the authority of the order of Thursday, June 24, 2021, at 1000 a.m. the ACTING PRESIDENT pro tempore declared the Senate adjourned, under its order of Thursday, June 24, 2021, until 11 a.m. on Thursday, July 1, 2021.
"
