date,url,title
"November 2, 2021",https://www.fcc.gov/document/fcc-announces-equity-council-members-and-working-group-chairs,FCC Announces Equity Council Members and Working Group Chairs
"November 1, 2021",https://www.fcc.gov/document/fcc-extend-application-deadline-fall-2022-honors-program,FCC to Extend Application Deadline for Fall 2022 Honors Program
"October 29, 2021",https://www.fcc.gov/document/simington-applauds-passage-secure-equipment-act-2021,Simington Applauds Passage Of The Secure Equipment Act Of 2021
"October 29, 2021",https://www.fcc.gov/document/fcc-approves-spectrum-licenses-serve-alaska-native-communities,FCC Approves Spectrum Licenses to Serve Alaska Native Communities
"October 29, 2021",https://www.fcc.gov/document/fcc-opens-filing-window-supply-chain-reimbursement-program,FCC Opens Filing Window for Supply Chain Reimbursement Program
"October 28, 2021",https://www.fcc.gov/document/carr-applauds-final-passage-secure-equipment-act-us-senate,Carr Applauds Final Passage of Secure Equipment Act by U.S. Senate
"October 28, 2021",https://www.fcc.gov/document/chairwoman-rosenworcel-congratulates-fccs-evan-kwerel,Chairwoman Rosenworcel Congratulates FCC's Evan Kwerel
"October 28, 2021",https://www.fcc.gov/document/fcc-announces-tentative-agenda-november-open-meeting-7,FCC Announces Tentative Agenda for November Open Meeting
"October 28, 2021",https://www.fcc.gov/document/commissioner-simington-addresses-mobile-world-congress,Commissioner Simington Addresses Mobile World Congress
"October 27, 2021",https://www.fcc.gov/document/fcc-announces-36-newly-approved-connected-care-pilot-program-projects-0,FCC Announces 36 Newly Approved Connected Care Pilot Program Projects
"October 27, 2021",https://www.fcc.gov/document/fcc-consider-text-988-expand-suicide-prevention-services,FCC to Consider Text-to-988 to Expand Suicide Prevention Services
