date,type,title,sponsor,committees,latest_action,tracker,url
09/08/2021,BILL,Just Transition for Energy Communities Act,"Rep. Leger Fernandez, Teresa [D-NM-3]", House - Transportation and Infrastructure; Financial Services        ,"House - 09/08/2021 Referred to the Subcommittee on Economic Development, Public Buildings, and Emergency Management. (",Introduced,https://www.congress.gov/bill/117th-congress/house-bill/5193?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-09-08%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%5D%7D&s=1&r=1
09/07/2021,BILL,"Lawrence J. Hackett, Jr., Vietnam Veterans Agent Orange Fairness Act","Rep. Katko, John [R-NY-24]", House - Veterans' Affairs        ,House - 09/07/2021 Referred to the Subcommittee on Disability Assistance and Memorial Affairs. (,Introduced,https://www.congress.gov/bill/117th-congress/house-bill/3596?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-09-07%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%5D%7D&s=1&r=1
09/07/2021,BILL,William Becker Promoting Careers in Aviation for America’s Veterans Act,"Rep. Katko, John [R-NY-24]", House - Veterans' Affairs; Ways and Means        ,House - 09/07/2021 Referred to the Subcommittee on Economic Opportunity. (,Introduced,https://www.congress.gov/bill/117th-congress/house-bill/3597?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-09-07%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%5D%7D&s=1&r=2
09/07/2021,BILL,Fully Informed Veteran Act of 2021,"Rep. Lamb, Conor [D-PA-17]", House - Veterans' Affairs; Judiciary; Energy and Commerce        ,House - 09/07/2021 Referred to the Subcommittee on Health. (,Introduced,https://www.congress.gov/bill/117th-congress/house-bill/3601?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-09-07%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%5D%7D&s=1&r=3
09/07/2021,BILL,ACE Veterans Act,"Rep. Underwood, Lauren [D-IL-14]", House - Veterans' Affairs        ,House - 09/07/2021 Referred to the Subcommittee on Health. (,Introduced,https://www.congress.gov/bill/117th-congress/house-bill/3643?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-09-07%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%5D%7D&s=1&r=4
09/07/2021,BILL,"To designate the medical center of the Department of Veterans Affairs in San Diego, California, as the Jennifer Moreno Department of Veterans Affairs Medical Center, and to support the designation of a component of such medical center in honor of Kathleen Bruyere.","Rep. Levin, Mike [D-CA-49]", House - Veterans' Affairs        ,House - 09/07/2021 Referred to the Subcommittee on Health. (,Introduced,https://www.congress.gov/bill/117th-congress/house-bill/3665?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-09-07%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%5D%7D&s=1&r=5
09/07/2021,BILL,Vet Center Support Act,"Rep. Phillips, Dean [D-MN-3]", House - Veterans' Affairs        ,House - 09/07/2021 Referred to the Subcommittee on Health. (,Introduced,https://www.congress.gov/bill/117th-congress/house-bill/3674?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-09-07%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%5D%7D&s=1&r=6
09/07/2021,BILL,VA CPE Modernization Act,"Rep. Brownley, Julia [D-CA-26]", House - Veterans' Affairs        ,House - 09/07/2021 Referred to the Subcommittee on Health. (,Introduced,https://www.congress.gov/bill/117th-congress/house-bill/3693?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-09-07%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%5D%7D&s=1&r=7
09/07/2021,BILL,"To amend title 38, United States Code, to establish in the Department of Veterans Affairs an Advisory Committee on United States Outlying Areas and Freely Associated States, and for other purposes.","Del. Sablan, Gregorio Kilili Camacho [D-MP-At Large]", House - Veterans' Affairs        ,House - 09/07/2021 Referred to the Subcommittee on Oversight and Investigations. (,Introduced,https://www.congress.gov/bill/117th-congress/house-bill/3730?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-09-07%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%5D%7D&s=1&r=8
09/07/2021,BILL,Supporting Families of the Fallen Act,"Rep. Roy, Chip [R-TX-21]", House - Veterans' Affairs        ,House - 09/07/2021 Referred to the Subcommittee on Disability Assistance and Memorial Affairs. (,Introduced,https://www.congress.gov/bill/117th-congress/house-bill/3793?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-09-07%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%5D%7D&s=1&r=9
