category,date,url,title
hearings,08/03/21,https://www.judiciary.senate.gov/meetings/breaking-the-logjam-principles-and-practice-of-congressional-oversight-and-executive-privilege,Breaking the Logjam: Principles and Practice of Congressional Oversight and Executive Privilege
majority,07/22/21,https://www.judiciary.senate.gov/press/dem/releases/durbin-lightfoot-attorney-general-garland-discuss-gun-trafficking-strike-force-investments-in-community-violence-prevention-programs-in-chicago,"Durbin, Lightfoot, Attorney General Garland Discuss Gun Trafficking Strike Force, Investments in Community Violence Prevention Programs in Chicago"
minority,07/28/21,https://www.judiciary.senate.gov/press/rep/releases/grassley-questions-witnesses-calls-out-large-meatpackers-on-unfair-practices-at-judiciary-committee-hearing,"Grassley Questions Witnesses, Calls out Large Meatpackers on Unfair Practices at Judiciary Committee Hearing"
hearings,08/03/21,https://www.judiciary.senate.gov/meetings/student-loan-bankruptcy-reform,Student Loan Bankruptcy Reform
hearings,07/29/21,https://www.judiciary.senate.gov/meetings/07/22/2021/executive-business-meeting,Executive Business Meeting
hearings,07/28/21,https://www.judiciary.senate.gov/meetings/beefing-up-competition-examining-americas-food-supply-chain,Beefing up Competition: Examining America’s Food Supply Chain
hearings,07/28/21,https://www.judiciary.senate.gov/meetings/07/21/2021/nominations,Nominations
hearings,07/27/21,https://www.judiciary.senate.gov/meetings/america-under-cyber-siege-preventing-and-responding-to-ransomware-attacks,America Under Cyber Siege: Preventing and Responding to Ransomware Attacks
hearings,07/22/21,https://www.judiciary.senate.gov/meetings/07/16/2021/executive-business-meeting,Executive Business Meeting
majority,07/22/21,https://www.judiciary.senate.gov/press/dem/releases/senate-judiciary-committee-advances-latest-slate-of-judicial-and-executive-nominations,Senate Judiciary Committee Advances Latest Slate of Judicial & Executive Nominations
majority,07/22/21,https://www.judiciary.senate.gov/press/dem/releases/durbin-to-join-attorney-general-garland-in-chicago-today-to-announce-gun-violence-strike-force,Durbin to Join Attorney General Garland in Chicago Today to Announce Gun Violence Strike Force
minority,07/28/21,https://www.judiciary.senate.gov/grassley-at-judiciary-hearing-on-beefing-up-competition-in-meat-supply-chain,Grassley At Judiciary Hearing On Beefing Up Competition In Meat Supply Chain
minority,07/27/21,https://www.judiciary.senate.gov/grassley-addresses-our-domestic-terrorism-strategy,Grassley Addresses Our Domestic Terrorism Strategy
minority,07/27/21,https://www.judiciary.senate.gov/grassley-statement-at-ransomware-hearing,Grassley Statement at Ransomware Hearing
