category,date,url,title
Majority Press Release,08/10/21,https://www.banking.senate.gov/newsroom/majority/senate-passes-bipartisan-infrastructure-bill-with-historic-brown-provisions-to-invest-in-ohio-communities-and-create-good-paying-american-jobs,Senate Passes Bipartisan Infrastructure Bill With Historic Brown Provisions to Invest in Ohio Communities & Create Good-Paying American Jobs
Majority Press Release,08/09/21,https://www.banking.senate.gov/newsroom/majority/brown-to-senate-colleagues-housing-is-infrastructure,Brown to Senate Colleagues: Housing Is Infrastructure
Majority Press Release,08/09/21,https://www.banking.senate.gov/newsroom/majority/brown-applauds-biden-administration-for-renominating-todd-harper,Brown Applauds Biden Administration for Renominating Todd Harper
Majority Press Release,08/06/21,https://www.banking.senate.gov/newsroom/majority/brown-applauds-sec-for-approving-new-diversity-standards,Brown Applauds SEC for Approving New Diversity Standards
Majority Press Release,08/05/21,https://www.banking.senate.gov/newsroom/majority/brown-these-hud-nominees-stand-ready-to-address-our-nations-housing-crisis,Brown: These HUD Nominees Stand Ready to Address Our Nation’s Housing Crisis
Minority Press Release,08/09/21,https://www.banking.senate.gov/newsroom/minority/toomey-who-knows-how-much-innovation-were-going-to-stifle,Toomey: Who Knows How Much Innovation We’re Going to Stifle
Minority Press Release,08/09/21,https://www.banking.senate.gov/newsroom/minority/toomey-warner-lummis-sinema-portman-announce-agreement-on-digital-asset-reporting-requirements-in-infrastructure-bill,"Toomey, Warner, Lummis, Sinema, Portman Announce Agreement on Digital Asset Reporting Requirements in Infrastructure Bill"
Minority Press Release,08/06/21,https://www.banking.senate.gov/newsroom/minority/toomey-statement-on-the-secs-approval-of-nasdaqs-board-diversity-requirements,Toomey Statement on the SEC’s Approval of NASDAQ’s Board Diversity Requirements
Minority Press Release,08/05/21,https://www.banking.senate.gov/newsroom/minority/toomey-insists-on-senate-vote-on-digital-asset-amendment,Toomey Insists on Senate Vote on Digital Asset Amendment
Minority Press Release,08/05/21,https://www.banking.senate.gov/newsroom/minority/toomey-questions-hud-nominees-temperament-experience-and-fitness-to-serve,"Toomey Questions HUD Nominees’ Temperament, Experience, and Fitness to Serve"
Hearings,08/05/21,https://www.banking.senate.gov/hearings/07/29/2021/nomination-hearing,Nomination Hearing
