category,date,url,title
hearings,11/16/21,https://www.judiciary.senate.gov/meetings/10/20/2021/oversight-of-the-department-of-homeland-security,Oversight of the Department of Homeland Security
hearings,11/04/21,https://www.judiciary.senate.gov/meetings/10/28/2021/executive-business-meeting,Executive Business Meeting
hearings,11/03/21,https://www.judiciary.senate.gov/meetings/10/27/2021/nominations,Nominations
hearings,11/02/21,https://www.judiciary.senate.gov/meetings/cleaning-up-online-marketplaces-protecting-against-stolen-counterfeit-and-unsafe-goods,"Cleaning Up Online Marketplaces: Protecting Against Stolen, Counterfeit, and Unsafe Goods"
hearings,10/28/21,https://www.judiciary.senate.gov/meetings/10/21/2021/executive-business-meeting,Executive Business Meeting
hearings,10/27/21,https://www.judiciary.senate.gov/meetings/10/20/2021/oversight-of-the-department-of-justice,Oversight of the Department of Justice
minority,10/28/21,https://www.judiciary.senate.gov/10/28/2021/grassley-statement-at-an-executive-business-meeting,Grassley Statement at an Executive Business Meeting
minority,10/27/21,https://www.judiciary.senate.gov/grassley-statement-at-justice-department-oversight-hearing,Grassley Statement at Justice Department Oversight Hearing
majority,10/28/21,https://www.judiciary.senate.gov/press/dem/releases/durbin-statement-on-immigration-in-build-back-vetter-reconciliation-framework,Durbin Statement on Immigration in Build Back Better Reconciliation Framework
majority,10/28/21,https://www.judiciary.senate.gov/press/dem/releases/judiciary-committee-advances-nominations-of-six-judicial-nominees-and-three-us-attorneys,Judiciary Committee Advances Nominations of Six Judicial Nominees and Three U.S. Attorneys
majority,10/28/21,https://www.judiciary.senate.gov/press/dem/releases/durbin-blackburn-introduce-bipartisan-eliminating-limits-to-justice-for-child-sex-abuse-victims-act,"Durbin, Blackburn Introduce Bipartisan Eliminating Limits to Justice for Child Sex Abuse Victims Act"
majority,10/27/21,https://www.judiciary.senate.gov/press/dem/releases/durbin-the-senate-must-follow-the-houses-lead-and-eliminate-the-federal-crack-and-powder-cocaine-sentencing-disparity,Durbin: The Senate Must Follow the House's Lead and Eliminate the Federal Crack and Powder Cocaine Sentencing Disparity
majority,10/27/21,https://www.judiciary.senate.gov/press/dem/releases/durbin-questions-attorney-general-garland-during-hearing-on-oversight-of-the-department-of-justice,Durbin Questions Attorney General Garland During Hearing on Oversight of the Department of Justice
majority,10/27/21,https://www.judiciary.senate.gov/press/dem/releases/durbin-delivers-opening-statement-in-senate-judiciary-committees-first-department-of-justice-oversight-hearing-since-2017,Durbin Delivers Opening Statement in Senate Judiciary Committee's First Department of Justice Oversight Hearing Since 2017
