category,date,title,url
Majority Markups,May 18 2022,,https://transportation.house.gov/committee-activity/hearings/05/16/2022/full-committee-markup
Majority Hearings,May 18 2022,,https://transportation.house.gov/committee-activity/hearings/05/16/2022/full-committee-markup
Majority Hearings,May 17 2022,,https://transportation.house.gov/committee-activity/hearings/preparing-for-take-off-examining-efforts-to-address-climate-change-at-us-airports
Majority Press Releases,"May 17, 2022",House Committee on Transportation and Infrastructure to Hold Markup,https://transportation.house.gov/news/press-releases/05/17/2022/house-committee-on-transportation-and-infrastructure-to-hold-markup
Majority Press Releases,"May 17, 2022",Committee Leaders Introduce Bipartisan Water Resources Development Act of 2022,https://transportation.house.gov/news/press-releases/committee-leaders-introduce-bipartisan-water-resources-development-act-of-2022
Majority Press Releases,"May 13, 2022",Chairs DeFazio and Larsen Announce Hearing on Efforts to Mitigate Climate Change at U.S. Airports,https://transportation.house.gov/news/press-releases/chairs-defazio-and-larsen-announce-hearing-on-efforts-to-mitigate-climate-change-at-us-airports
Majority Hearings,May 12 2022,,https://transportation.house.gov/committee-activity/hearings/board-member-views-on-surface-transportation-board-reauthorization
Majority Press Releases,"May 12, 2022","Chairs DeFazio, Payne, Jr. Statements from Hearing on The Surface Transportation Board’s Role in Resolving Freight Rail Conflicts",https://transportation.house.gov/news/press-releases/chairs-defazio-payne-jr-statements-from-hearing-on-the-surface-transportation-boards-role-in-resolving-freight-rail-conflicts
Minority Markups,"May 18, 2022","Full Committee Markup (May 18, 2022)",https://republicans-transportation.house.gov/calendar/EventSingle.aspx?EventID=405877
Minority Hearings,"May 17, 2022",Preparing for Take-Off: Examining Efforts to Address Climate Change at U.S. Airports,https://republicans-transportation.house.gov/calendar/EventSingle.aspx?EventID=405873
Minority Hearings,"May 12, 2022",Board Member Views on Surface Transportation Board Reauthorization,https://republicans-transportation.house.gov/calendar/EventSingle.aspx?EventID=405871
Minority Press Releases,"May 17, 2022",Committee Leaders Introduce Bipartisan Water Resources Development Act of 2022,https://republicans-transportation.house.gov/news/documentsingle.aspx?DocumentID=405880
Minority Press Releases,"May 12, 2022",Ranking Member Crawford Statement from Hearing on Surface Transportation Board Member Views on STB Reauthorization,https://republicans-transportation.house.gov/news/documentsingle.aspx?DocumentID=405875
Minority Press Releases,"May 11, 2022",Ranking Members Sam Graves and Rodney Davis Statement on the Administration’s So-Called Action Plan on Project Permitting,https://republicans-transportation.house.gov/news/documentsingle.aspx?DocumentID=405874
