category,date,title,url,description
Hearings,"December 09, 2021",Holding Big Tech Accountable: Legislation to Build a Safer Internet,https://republicans-energycommerce.house.gov/hearings/holding-big-tech-accountable-legislation-to-build-a-safer-internet/,https://youtu.be/07XNpKdekYU
Hearings,"December 08, 2021",The Future of Biomedicine: Translating Biomedical Research into Personalized Health Care,https://republicans-energycommerce.house.gov/hearings/the-future-of-biomedicine-translating-biomedical-research-into-personalized-health-care/,https://youtu.be/07XNpKdekYU
Hearings,"December 07, 2021",POSTPONED: Securing our Energy Infrastructure: Legislation to Enhance Pipeline Reliability,https://republicans-energycommerce.house.gov/hearings/securing-our-energy-infrastructure-legislation-to-enhance-pipeline-reliability/,
Hearings,"December 02, 2021",The Overdose Crisis: Interagency Proposal to Combat Illicit Fentanyl-related Substances,https://republicans-energycommerce.house.gov/hearings/the-overdose-crisis-interagency-proposal-to-combat-illicit-fentanyl-related-substances/,https://youtu.be/16-ydptcj7I
Press Releases,12.08.2021,Guthrie Remarks in Health Subcommittee Hearing on the Future of Biomedicine,https://republicans-energycommerce.house.gov/news/guthrie-remarks-in-health-subcommittee-hearing-on-the-future-of-biomedicine/,"Washington, D.C. — Health Subcommittee Republican Leader Brett Guthrie (R-KY) delivered the following remarks in a Health Subcommittee hearing entitled, ""The Future of Biomedicine: Translating Biomedical Research into Personalized Health Care.” "
Press Releases,12.08.2021,Leader Rodgers Remarks in Health Subcommittee Hearing on the Future of Biomedicine,https://republicans-energycommerce.house.gov/news/leader-rodgers-remarks-in-health-subcommittee-hearing-on-the-future-of-biomedicine/,"Washington, D.C. — Energy and Commerce Committee Republican Leader Cathy McMorris Rodgers (R-WA) delivered the following remarks in a Health Subcommittee hearing entitled, ""The Future of Biomedicine: Translating Biomedical Research into Personalized Health Care.” "
Press Releases,12.02.2021,E&C Leaders Request GAO Examine Issues at DOE Affecting Progress on Reducing Environmental Liabilities,https://republicans-energycommerce.house.gov/news/ec-leaders-request-gao-examine-issues-at-doe-affecting-progress-on-reducing-environmental-liabilities/,"Washington, D.C. — House Energy and Commerce Committee Republican Leader Cathy McMorris Rodgers (R-WA), Energy and Commerce Committee Chairman Frank Pallone, Jr. (D-NJ), Energy Subcommittee Republican Leader Fred Upton (R-MI), Energy Subcommittee Chairman Bobby L. Rush (D-IL), Oversight and Investigations Subcommittee Republican Leader Morgan Griffith (R-VA), and Oversight and Investigations Subcommittee Chair Diana DeGette (D-CO) wrote to the Government Accountability Office (GAO) today requesting an examination of management challenges and other issues at the Department of Energy’s (DOE) Office of Environmental Management (EM) that have affected EM’s ability to reduce its..."
Press Releases,12.02.2021,Leader Guthrie on the Need to Address Fentanyl-Related Substances to Save Lives,https://republicans-energycommerce.house.gov/news/leader-guthrie-on-the-need-to-address-fentanyl-related-substances-to-save-lives/,"Washington, D.C. — Health Subcommittee Republican Leader Brett Guthrie (R-KY) delivered the following remarks in a Health Subcommittee hearing remarks in a Health Subcommittee hearing entitled, “The Overdose Crisis: Interagency Proposal to Combat Illicit Fentanyl-Related Substances.”"
Press Releases,12.02.2021,Leader Rodgers: We need to take this urgent action on fentanyl analogues,https://republicans-energycommerce.house.gov/news/leader-rodgers-we-need-to-take-this-urgent-action-on-fentanyl-analogues/,“It is too deadly a substance to be weak on traffickers and those who sell it to children in our communities.”
Press Releases,12.02.2021,"Rodgers, Latta Applaud Bipartisan Legislation to Improve Cybersecurity and Ensure American Leadership in Next Generation Communications Technology",https://republicans-energycommerce.house.gov/news/press-release/rodgers-latta-applaud-bipartisan-legislation-to-improve-cybersecurity-and-ensure-american-leadership-in-next-generation-communications-technology/,"Washington, D.C. – House Energy and Commerce Committee Republican Leader Cathy McMorris Rodgers (R-WA) and Republican leader for Communications and Technology Bob Latta (R-OH) released the following statement on the passing of bipartisan legislation to improve cybersecurity and ensure American leadership in next generation communications technology. "
