category,date,title,url,description
Hearings,"February 17, 2022",Americans in Need: Responding to the National Mental Health Crisis,https://republicans-energycommerce.house.gov/hearings/americans-in-need-responding-to-the-national-mental-health-crisis/,https://youtu.be/ay6zv71_6uI
Hearings,"February 16, 2022",Connecting America: Oversight of NTIA,https://republicans-energycommerce.house.gov/hearings/connecting-america-oversight-of-ntia/,https://youtu.be/hBXnwWc6_r4
Hearings,"February 15, 2022",Back from the Brink: Restoring Brownfield Sites to Economic Engines,https://republicans-energycommerce.house.gov/hearings/back-from-the-brink-restoring-brownfield-sites-to-economic-engines/,https://youtu.be/w3B6feH5jLM
Press Releases,02.16.2022,Leader Rodgers: “We Need NTIA Oversight to Ensure That Funds are Being Used to Close the Digital Divide and Boost American Leadership”,https://republicans-energycommerce.house.gov/news/leader-rodgers-we-need-ntia-oversight-to-ensure-that-funds-are-being-used-to-close-the-digital-divide-and-boost-american-leadership/,"Washington, D.C. — House Energy and Commerce Committee Republican Leader Cathy McMorris Rodgers (R-WA) spoke about the need for NTIA oversight and the critical role they play in promoting economic growth and American leadership at today’s Communications and Technology Subcommittee hearing."
Press Releases,02.16.2022,Subcommittee Leader Latta: “E&C has a Duty to Oversee NTIA’s Implementation of It Critical Responsibilities and Connect Americans”,https://republicans-energycommerce.house.gov/news/press-release/subcommittee-leader-latta-ec-has-a-duty-to-oversee-ntias-implementation-of-it-critical-responsibilities-and-connect-americans/,"Washington, D.C. — In a Communications and Technology Subcommittee hearing, Subcommittee Republican Leader Bob Latta (R-OH) delivered remarks on the need to connect truly unserved areas across the country."
Press Releases,02.15.2022,Leader Rodgers Statement on Biden Administration’s COVID-19 Supplemental Funding Request,https://republicans-energycommerce.house.gov/news/leader-rodgers-statement-on-biden-administrations-covid-19-supplemental-funding-request/,"Washington, D.C. — Energy and Commerce Republican Leader Cathy McMorris Rodgers (R-WA) released the following statement regarding the Biden administration’s request for $30 billion. "
Press Releases,02.15.2022,Leader Rodgers Statement Following Biden’s Address on the Ukraine-Russia Crisis,https://republicans-energycommerce.house.gov/news/leader-rodgers-statement-following-bidens-address-on-the-ukraine-russia-crisis/,"Washington, D.C. — House Energy and Commerce Committee Republican Leader Cathy McMorris Rodgers (R-WA) released the following statement following President Biden’s remarks on the Ukraine-Russia crisis."
Press Releases,02.15.2022,Subcommittee Leader McKinley Opening Remarks at Hearing on EPA’s Brownfields Program,https://republicans-energycommerce.house.gov/news/subcommittee-leader-mckinley-opening-remarks-at-hearing-on-epas-brownfields-program/,"Washington, D.C. — In an Environment and Climate Change Subcommittee hearing, Subcommittee Republican Leader David B. McKinley (R-WV) spoke about the Environmental Protection Agency’s (EPA) “Brownfields” program."
Press Releases,02.15.2022,Leader Rodgers Opening Remarks at Subcommittee Hearing on EPA’s Brownfields Program,https://republicans-energycommerce.house.gov/news/leader-rodgers-opening-remarks-at-subcommittee-hearing-on-epas-brownfields-program/,"Washington, D.C. — Energy and Commerce Committee Republican Leader Cathy McMorris Rodgers (R-WA) delivered remarks in today’s Subcommittee on Environment and Climate Change hearing on the Environmental Protection Agency’s (EPA) “Brownfields” program."
Press Releases,02.14.2022,E&C Republican Leaders Launch Probe into Attempts by NIH’s Fauci and Collins to Suppress Debate and Information on COVID-19’s Origins,https://republicans-energycommerce.house.gov/news/ec-republican-leaders-launch-probe-into-attempts-by-nihs-fauci-and-collins-to-suppress-debate-and-information-on-covid-19s-origins/,"Washington, D.C. — House Energy and Commerce Committee Republican Leader Cathy McMorris Rodgers (R-WA), Subcommittee on Health Republican Leader Brett Guthrie (R-KY), and Subcommittee on Oversight and Investigations Republican Leader Morgan Griffith (R-VA) sent letters to National Institute of Allergy and Infectious Diseases (NIAID) Director Dr. Anthony Fauci and former National Institutes of Health (NIH) Director Dr. Francis Collins about their apparent attempts to suppress scientific debate and information about the origins of COVID-19 and how such efforts may have influenced the advice they gave the White..."
Press Releases,02.11.2022,New Bipartisan E&C Draft Legislation Will Secure American Leadership in Satellite Communications,https://republicans-energycommerce.house.gov/news/new-bipartisan-ec-draft-legislation-will-secure-american-leadership-in-satellite-communications/,"Washington, D.C. — House Energy and Commerce Committee Republican Leader Cathy McMorris Rodgers (R-WA) and Committee Chairman Frank Pallone, Jr. (D-NJ) issued the following statement on new bipartisan draft legislation seeking to promote competition, innovation, national security, the interests of consumers, and American leadership in the thriving commercial satellite communications industry.  "
