category,date,title,url
Majority Hearings,Oct 27 2021,,https://transportation.house.gov/committee-activity/hearings/10/25/2021/full-committee-markup
Majority Markups,Oct 27 2021,,https://transportation.house.gov/committee-activity/hearings/10/25/2021/full-committee-markup
Majority Press Releases,"October 26, 2021","Chairs DeFazio, Titus Statements from Hearing to Examine FEMA’s Assistance Programs’ Ability to Help Before, During, and After Wildfires",https://transportation.house.gov/news/press-releases/chairs-defazio-titus-statements-from-hearing-to-examine-femas-assistance-programs-ability-to-help-before-during-and-after-wildfires
Majority Press Releases,"October 25, 2021",Chair DeFazio Introduces Legislation to Protect Passengers and Workers from Sexual Assault and Harassment in Transportation,https://transportation.house.gov/news/press-releases/chair-defazio-introduces-legislation-to-protect-passengers-and-workers-from-sexual-assault-and-harassment-in-transportation
Majority Press Releases,"October 25, 2021",House Committee on Transportation and Infrastructure to Hold Markup,https://transportation.house.gov/news/press-releases/10/25/2021/house-committee-on-transportation-and-infrastructure-to-hold-markup
Majority Press Releases,"October 22, 2021","Chairs DeFazio, Titus Announce Hearing to Examine FEMA’s Assistance Programs Before, During, and After Wildfires",https://transportation.house.gov/news/press-releases/chairs-defazio-titus-announce-hearing-to-examine-femas-assistance-programs-before-during-and-after-wildfires
Majority Press Releases,"October 21, 2021","Chairs DeFazio, Larsen Statements from Hearing on the FAA Implementation of the 2020 Aircraft Certification, Safety, and Accountability Act",https://transportation.house.gov/news/press-releases/chairs-defazio-larsen-statements-from-hearing-on-the-faa-implementation-of-the-2020-aircraft-certification-safety-and-accountability-act
Majority Hearings,Nov 02 2021,,https://transportation.house.gov/committee-activity/hearings/the-general-services-administrations-priorities-for-2021-and-beyond
Majority Hearings,Nov 04 2021,,https://transportation.house.gov/committee-activity/hearings/the-evolving-cybersecurity-landscape-industry-perspectives-on-securing-the-nations-infrastructure
Majority Hearings,Oct 26 2021,,https://transportation.house.gov/committee-activity/hearings/are-femas-assistance-programs-adequately-designed-to-assist-communities-before-during-and-after-wildfire
Majority Hearings,Oct 21 2021,,https://transportation.house.gov/committee-activity/hearings/three-years-after-lion-air-610-faa-implementation-of-the-2020-aircraft-certification-safety-and-accountability-act
Majority Hearings,Oct 20 2021,,https://transportation.house.gov/committee-activity/hearings/achieving-mission-balance-positioning-the-coast-guard-for-the-future
Majority Press Releases,"October 20, 2021",Sam Graves & Bipartisan Committee Leaders Introduce the SPEED Recovery Act for Faster Disaster Recovery ,https://transportation.house.gov/news/press-releases/sam-graves-and-bipartisan-committee-leaders-introduce-the-speed-recovery-act-for-faster-disaster-recovery-
Majority Press Releases,"October 20, 2021",Chair Carbajal Statement from Hearing on Positioning the U.S. Coast Guard for the Future,https://transportation.house.gov/news/press-releases/chair-carbajal-statement-from-hearing-on-positioning-the-us-coast-guard-for-the-future
Minority Press Releases,"October 26, 2021",Webster Statement from Hearing on FEMA’s Wildfire Assistance Efforts,https://republicans-transportation.house.gov/news/documentsingle.aspx?DocumentID=405646
Minority Press Releases,"October 26, 2021",Graves and Rouzer criticize Biden administration for limiting input on planned water regulatory actions,https://republicans-transportation.house.gov/news/documentsingle.aspx?DocumentID=405649
Minority Press Releases,"October 21, 2021",Ranking Members Sam Graves & Garret Graves Statements from Aircraft Safety Hearing with FAA Administrator Steve Dickson,https://republicans-transportation.house.gov/news/documentsingle.aspx?DocumentID=405644
Minority Press Releases,"October 20, 2021",Sam Graves & Bipartisan Committee Leaders Introduce the SPEED Recovery Act for Faster Disaster Recovery ,https://republicans-transportation.house.gov/news/documentsingle.aspx?DocumentID=405638
Minority Press Releases,"October 20, 2021",Gibbs Statement from Hearing on Positioning the Coast Guard for the Future,https://republicans-transportation.house.gov/news/documentsingle.aspx?DocumentID=405640
Minority Hearings,"November 4, 2021",The Evolving Cybersecurity Landscape: Industry Perspectives on Securing the Nation's Infrastructure,https://republicans-transportation.house.gov/calendar/EventSingle.aspx?EventID=405648
Minority Hearings,"November 2, 2021",The General Services Administration’s Priorities for 2021 and Beyond,https://republicans-transportation.house.gov/calendar/EventSingle.aspx?EventID=405647
Minority Hearings,"October 26, 2021","Are FEMA’s Assistance Programs Adequately Designed to Assist Communities Before, During, and After Wildfire?",https://republicans-transportation.house.gov/calendar/EventSingle.aspx?EventID=405642
Minority Hearings,"October 21, 2021","Three Years After Lion Air 610: FAA Implementation of the 2020 Aircraft Certification, Safety, and Accountability Act",https://republicans-transportation.house.gov/calendar/EventSingle.aspx?EventID=405636
Minority Hearings,"October 20, 2021",Achieving Mission Balance: Positioning the Coast Guard for the Future,https://republicans-transportation.house.gov/calendar/EventSingle.aspx?EventID=405637
Minority Press Releases,"October 20, 2021","Graves, Westerman Lead House Republicans’ Demand for Biden to Drop Socialist Policies that Will Worsen Supply Chain Crisis",https://republicans-transportation.house.gov/news/documentsingle.aspx?DocumentID=405641
Minority Markups,"October 27, 2021","Full Committee Markup (Oct. 27, 2021)",https://republicans-transportation.house.gov/calendar/EventSingle.aspx?EventID=405645
