category,date,title,url
Majority Hearings,Jul 28 2021,,https://transportation.house.gov/committee-activity/hearings/07/26/2021/full-committee-markup
Majority Markups,Jul 28 2021,,https://transportation.house.gov/committee-activity/hearings/07/26/2021/full-committee-markup
Majority Hearings,Jul 29 2021,,https://transportation.house.gov/committee-activity/hearings/assessing-the-federal-governments-covid-19-relief-and_response-efforts-and-its-impact
Majority Hearings,Jul 21 2021,,https://transportation.house.gov/committee-activity/hearings/review-of-fiscal-year-2022-budget-for-the-coast-guard-and-maritime-transportation-programs-
Majority Hearings,Jul 20 2021,,https://transportation.house.gov/committee-activity/hearings/bridging-the-gap-improving-diversity-and-inclusion-in-the-us-aviation-workforce
Majority Press Releases,"July 26, 2021",House Committee on Transportation and Infrastructure to Hold Markup,https://transportation.house.gov/news/press-releases/07/26/2021/house-committee-on-transportation-and-infrastructure-to-hold-markup
Majority Press Releases,"July 23, 2021",Chair DeFazio Announces Committee Hearing to Assess the Federal Government’s COVID-19 Relief and Response Efforts,https://transportation.house.gov/news/press-releases/chair-defazio-announces-committee-hearing-to-assess-the-federal-governments-covid-19-relief-and-response-efforts
Majority Press Releases,"July 21, 2021",Chair DeFazio Leads 30 Transportation and Infrastructure Committee Members in Urging Congressional Leadership to Include Transformational Policies from the INVEST in America Act in Infrastructure Legislation,https://transportation.house.gov/news/press-releases/chair-defazio-leads-30-transportation-and-infrastructure-committee-members-in-urging-congressional-leadership-to-include-transformational-policies-from-the-invest-in-america-act-in-infrastructure-legislation
Majority Press Releases,"July 21, 2021","Chairs DeFazio, Carbajal Statements from Subcommittee Hearing to Review Fiscal Year 2022 Budget for the Coast Guard and Maritime Transportation Programs",https://transportation.house.gov/news/press-releases/chairs-defazio-carbajal-statements-from-subcommittee-hearing-to-review-fiscal-year-2022-budget-for-the-coast-guard-and-maritime-transportation-programs
Majority Press Releases,"July 20, 2021","Chairs DeFazio, Larsen Statements from Subcommittee Hearing on Improving Diversity and Inclusion in the U.S. Aviation Workforce",https://transportation.house.gov/news/press-releases/chairs-defazio-larsen-statements-from-subcommittee-hearing-on-improving-diversity-and-inclusion-in-the-us-aviation-workforce
Minority Press Releases,"July 21, 2021","Gibbs Statement from Hearing on Coast Guard, FMC, and MARAD Budgets",https://republicans-transportation.house.gov/news/documentsingle.aspx?DocumentID=405514
Minority Press Releases,"July 20, 2021",Graves Statement from Hearing on Diversity and Inclusion in the Aviation Workforce,https://republicans-transportation.house.gov/news/documentsingle.aspx?DocumentID=405513
Minority Markups,"July 28, 2021","Full Committee Markup (July 28, 2021)",https://republicans-transportation.house.gov/calendar/EventSingle.aspx?EventID=405515
Minority Hearings,"July 29, 2021",Assessing the Federal Government’s COVID-19 Relief and Response Efforts and its Impact,https://republicans-transportation.house.gov/calendar/EventSingle.aspx?EventID=405516
Minority Hearings,"July 21, 2021",Review of Fiscal Year 2022 Budget for the Coast Guard and Maritime Transportation Programs,https://republicans-transportation.house.gov/calendar/EventSingle.aspx?EventID=405509
Minority Hearings,"July 20, 2021",Bridging the Gap: Improving Diversity and Inclusion in the U.S. Aviation Workforce,https://republicans-transportation.house.gov/calendar/EventSingle.aspx?EventID=405510
