category,date,title,url,description
Press Releases,02.18.2022,Leader Rodgers Statement on FERC’s Natural Gas Infrastructure Decision,https://republicans-energycommerce.house.gov/news/press-release/leader-rodgers-statement-on-fercs-natural-gas-infrastructure-decision/,"Washington, D.C. — House Energy and Commerce Committee Republican Leader Cathy McMorris Rodgers (R-WA) released the following statement after the Federal Energy Regulatory Commission (FERC) voted 3-2 to make it more difficult to build natural gas projects in the United States. "
Hearings,"February 17, 2022",Americans in Need: Responding to the National Mental Health Crisis,https://republicans-energycommerce.house.gov/hearings/americans-in-need-responding-to-the-national-mental-health-crisis/,https://youtu.be/ay6zv71_6uI
Press Releases,02.17.2022,Oversight Subcommittee Leader Griffith Opening Remarks for Hearing on Mental Health,https://republicans-energycommerce.house.gov/news/oversight-subcommittee-leader-griffith-opening-remarks-for-hearing-on-mental-health/,"Washington, D.C. — Energy and Commerce Committee Republican Leader for Oversight and Investigations Morgan Griffith (R-VA) delivered opening remarks at today’s Oversight and Investigations Subcommittee hearing on the mental health crisis in America."
Press Releases,02.17.2022,Leader Rodgers Calls for End of Mask Mandates on Children,https://republicans-energycommerce.house.gov/news/leader-rodgers-calls-for-end-of-mask-mandates-on-children/,"Washington, D.C. — Energy and Commerce Committee Republican Leader Cathy McMorris Rodgers (R-WA) delivered the following remarks in today’s Oversight & Investigations Subcommittee hearing on the mental health crisis in America."
Press Releases,02.16.2022,Leader Rodgers: “We Need NTIA Oversight to Ensure That Funds are Being Used to Close the Digital Divide and Boost American Leadership”,https://republicans-energycommerce.house.gov/news/leader-rodgers-we-need-ntia-oversight-to-ensure-that-funds-are-being-used-to-close-the-digital-divide-and-boost-american-leadership/,"Washington, D.C. — House Energy and Commerce Committee Republican Leader Cathy McMorris Rodgers (R-WA) spoke about the need for NTIA oversight and the critical role they play in promoting economic growth and American leadership at today’s Communications and Technology Subcommittee hearing."
Press Releases,02.16.2022,Subcommittee Leader Latta: “E&C has a Duty to Oversee NTIA’s Implementation of It Critical Responsibilities and Connect Americans”,https://republicans-energycommerce.house.gov/news/press-release/subcommittee-leader-latta-ec-has-a-duty-to-oversee-ntias-implementation-of-it-critical-responsibilities-and-connect-americans/,"Washington, D.C. — In a Communications and Technology Subcommittee hearing, Subcommittee Republican Leader Bob Latta (R-OH) delivered remarks on the need to connect truly unserved areas across the country."
Hearings,"February 16, 2022",Connecting America: Oversight of NTIA,https://republicans-energycommerce.house.gov/hearings/connecting-america-oversight-of-ntia/,https://youtu.be/hBXnwWc6_r4
